ControlSet	CacheEntryPosition	Path	LastModifiedTimeUTC	Executed
1	121	"00000009	0002000000510000	000a0000295a0000	8664	ThumbmunkeysLtd.PhototasticCollage	nfy108tqq3p12	"	1601-01-01 00:00:00	NA
1	122	"00000009	001120aee0ed0000	000a00003aa90000	8664	Microsoft.Office.OneNote	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	123	C:\Program Files\WindowsApps\Microsoft.XboxApp_30.31.1001.0_x64__8wekyb3d8bbwe\Application	2017-07-14 17:49:15	NA
1	124	"00000009	001e001f03e90000	000a00003ad70000	8664	Microsoft.XboxApp	8wekyb3d8bbwe	"	1601-01-01 00:00:00	NA
1	125	"0000000b	000a00003ad70000	000a00003ad70000	8664	Microsoft.Windows.CloudExperienceHost	cw5n1h2txyewy	neutral"	1601-01-01 00:00:00	NA
1	126	C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy\Application	2017-07-05 17:32:07	NA
1	127	C:\Program Files (x86)\AVG\Antivirus\x64\Gf2Vss.exe	2017-07-05 14:52:20	NA
1	128	C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.17054.14711.0_x64__8wekyb3d8bbwe\Application	2017-07-06 13:22:52	NA
1	129	C:\Program Files (x86)\4KDownload\4kvideodownloader\4kvideodownloader.exe	2017-06-22 23:14:36	NA
1	130	C:\Program Files (x86)\4KDownload\4kyoutubetomp3\4kyoutubetomp3.exe	2017-02-03 17:46:54	NA
1	131	C:\Users\ROCKHA~1\AppData\Local\Temp\is-B29AA.tmp\4kyoutubetomp3_3.1.tmp	2017-07-14 16:35:38	NA
1	132	C:\Users\Rock Hammerfist\AppData\Local\Temp\is-B29AA.tmp\4kyoutubetomp3_3.1.tmp	2017-07-14 16:35:38	NA
1	133	C:\Users\ROCKHA~1\AppData\Local\Temp\is-48SBG.tmp\4kyoutubetomp3_3.1.tmp	2017-07-14 16:35:35	NA
1	134	C:\Users\Rock Hammerfist\AppData\Local\Temp\is-48SBG.tmp\4kyoutubetomp3_3.1.tmp	2017-07-14 16:35:35	NA
1	135	C:\Users\Rock Hammerfist\Downloads\4kyoutubetomp3_3.1.exe	2017-07-14 16:35:32	NA
1	136	C:\Program Files\WindowsApps\Microsoft.ZuneMusic_10.17054.15411.0_x64__8wekyb3d8bbwe\Application	2017-07-13 15:59:02	NA
1	137	C:\Users\Rock Hammerfist\Downloads\novasdkdev.exe	2017-07-14 13:13:47	NA
1	138	C:\Users\Rock Hammerfist\Downloads\novaoemdev.exe	2017-07-14 13:13:52	NA
1	139	C:\Users\Rock Hammerfist\Downloads\novapdf-full.exe	2017-07-14 13:13:19	NA
